r,t,R1,R2,R3,a1_R_dual_norm,a1_R_comp,a1_R_stat_norm,a2_R_dual_norm,a2_R_comp,a2_R_stat_norm
1,1,14.95635361042984,1.0396827488948195e-15,1.0370365353139532,7.076214596006121e-10,3.206189464314221e-09,1.4607480743613623e-09,1.6032439606406024e-11,1.142655639666398e-09,1.6765302253706035e-11
1,2,6.413563604027187,6.516652152274091e-16,0.18910636572304637,4.836997591871232e-10,1.471099277740703e-09,9.350258785897994e-10,3.122864515242728e-11,1.2112899672962462e-09,2.3402988994873255e-11
1,3,3.8796920636991206,1.8094953712161687e-15,0.10986094328919598,5.234654395480419e-10,1.5903963186674918e-09,7.352392509896605e-10,1.4960260504838244e-10,2.5417269867432167e-09,1.5262458643556902e-10
1,4,2.9070117587107025,1.3983549880257019e-15,0.16191434899988447,9.681938193926087e-10,4.816914592028739e-09,1.1749285310546446e-09,7.775316071488202e-11,7.910022957968623e-10,4.83107383635453e-11
1,5,2.3284922613531287,1.8559433465320465e-15,0.16164221006590437,5.2086166813023334e-11,2.638554856754747e-10,1.3298474041606579e-10,5.303524430360323e-11,6.478454016568585e-10,5.928811402179273e-11
1,6,1.898667449173205,1.5187778950171062e-15,0.14351209173096557,7.508107731594043e-10,2.868143985932444e-09,1.9761488445644495e-09,1.931824825232676e-10,1.5889189807897088e-09,2.074773718361076e-10
1,7,1.5550608109149084,1.3510010393392683e-15,0.1209557545124547,8.948162011987427e-10,2.7044486037418194e-09,1.9258528958565965e-09,1.0360598795373916e-10,7.260756846362103e-10,9.31812816834323e-11
1,8,1.2768594545496994,8.681108150684021e-16,0.09959382285502814,8.112869493416491e-10,2.453860848073769e-09,9.022932540955614e-10,1.2161110044934754e-10,6.607096873853206e-10,1.324710026942455e-10
1,9,1.0522191464419546,1.4875150127331473e-15,0.08118484819862674,7.8368788776881e-10,3.1498717506140622e-09,1.9218852443184723e-09,4.3507378262105134e-10,2.1950219055014127e-09,4.859702210083372e-10
1,10,0.8713475358645917,1.2092802019272574e-15,0.06590547444912347,3.953711542056404e-10,1.2061134627826885e-09,6.811430728919387e-10,5.216159117306719e-10,1.7728245308464868e-09,8.262146657151931e-10
1,11,0.7287064532538013,1.2746428915916302e-15,0.05320473712875643,5.589641493359874e-10,2.2960261893682455e-09,1.4189218176300762e-09,3.602718695045737e-10,1.6110801536667655e-09,5.005964925281645e-10
1,12,0.6195057744704263,8.908848018021073e-16,0.04272929047678319,1.8527753185763883e-10,9.49738712373124e-10,4.167716567525821e-10,3.947638208424627e-10,1.2042914625380886e-09,5.173795449294584e-10
1,13,0.5342394802443484,1.3847918419843362e-15,0.034320779060462596,6.191138369811067e-10,1.8773415111273148e-09,1.4703124436943398e-09,7.723222153851793e-11,2.8303484330573106e-10,1.0499521658970657e-10
1,14,0.4670882571833168,2.1502959355597723e-15,0.02762633922376595,5.72495582582919e-10,1.7374867478135273e-09,9.78369962428056e-10,1.2541761897574222e-10,6.194363368977e-10,2.016898894297564e-10
1,15,0.4146111683292151,1.2126995116409067e-15,0.0221710527417993,6.563628053156223e-10,3.265506876054496e-09,1.0318133933230796e-09,3.604937518371102e-11,1.515767629609122e-10,8.193208760677008e-11
1,16,0.37669732341234324,1.5328517645723046e-15,0.01745669812479472,5.37198492775205e-10,2.731191372048618e-09,1.0328045892277464e-09,5.58450027691231e-10,2.28625196326377e-09,9.503555890686013e-10
