outer_r,inner_t,xi_norm,direct_tcc_disagreement_m,target_residual_m,physical_numeric_pass,outer_stop_predicate,consecutive_outer_stop_passes
1,211,0.09028962253367044,0.12768898917888183,0.09028975013124303,false,false,0
2,202,0.017461463312267986,0.024694004025418662,0.01746129770102144,false,false,0
3,164,0.003645464643064285,0.005155309106016253,0.0036453540279768504,false,false,0
4,121,0.0007715252249663599,0.0010909810971517794,0.0007714401319423628,false,false,0
5,79,0.0001628939614843912,0.0002302719353329657,0.0001628268469908902,false,false,0
6,42,3.389893843838477e-05,4.786206784085708e-05,3.384359273188062e-05,false,false,0
7,18,6.802221596989993e-06,9.533951795113956e-06,6.741521965830736e-06,false,false,0
8,8,1.283381764762773e-06,1.7006142757418199e-06,1.2025158865596899e-06,false,false,0
9,5,3.963968424180342e-07,6.408605500628833e-07,4.5315684074440574e-07,true,true,1
10,3,5.181917114188811e-07,7.850016699224997e-07,5.550800040449635e-07,true,true,2
