accountsservice	23.13.9-2ubuntu6.1	amd64
acl	2.3.2-1build1.1	amd64
adduser	3.137ubuntu1	all
adwaita-icon-theme	46.0-1	all
alsa-base	1.0.25+dfsg-0ubuntu7	all
alsa-topology-conf	1.2.5.1-2	all
alsa-ucm-conf	1.2.10-1ubuntu5.14	all
alsa-utils	1.2.9-1ubuntu5	amd64
amd64-microcode	3.20251202.1ubuntu0.24.04.1	amd64
anacron	2.3-39ubuntu2	amd64
anydesk	8.0.4	amd64
apg	2.2.3.dfsg.1-5build3	amd64
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7	amd64
apport	2.28.3-0ubuntu0.1	all
apport-core-dump-handler	2.28.3-0ubuntu0.1	all
apport-gtk	2.28.3-0ubuntu0.1	all
apport-symptoms	0.25	all
appstream	1.0.2-1build6	amd64
apt	2.8.3	amd64
apt-config-icons	1.0.2-1build6	all
apt-config-icons-hidpi	1.0.2-1build6	all
apt-transport-https	2.8.3	all
apt-utils	2.8.3	amd64
aptdaemon	1.1.1+bzr982-0ubuntu44	all
aptdaemon-data	1.1.1+bzr982-0ubuntu44	all
aspell	0.60.8.1-1build1	amd64
aspell-en	2020.12.07-0-1	all
at-spi2-common	2.52.0-1build1	all
at-spi2-core	2.52.0-1build1	amd64
autoconf	2.71-3	all
automake	1:1.16.5-1.3ubuntu1	all
autotools-dev	20220109.1	all
avahi-daemon	0.8-13ubuntu6.2	amd64
babeltrace	1.5.11-3build3	amd64
baobab	46.0-1build1	amd64
base-files	13ubuntu10.5	amd64
base-passwd	3.6.3build1	amd64
bash	5.2.21-2ubuntu4	amd64
bash-completion	1:2.11-8	all
bc	1.07.1-3ubuntu4	amd64
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.7	amd64
bind9-host	1:9.18.39-0ubuntu0.24.04.7	amd64
bind9-libs	1:9.18.39-0ubuntu0.24.04.7	amd64
binutils	2.42-4ubuntu2.10	amd64
binutils-common	2.42-4ubuntu2.10	amd64
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10	amd64
blt	2.5.3+dfsg-7build1	amd64
bluez	5.72-0ubuntu5.5	amd64
bluez-cups	5.72-0ubuntu5.5	amd64
bluez-obexd	5.72-0ubuntu5.5	amd64
bolt	0.9.7-1	amd64
bpfcc-tools	0.29.1+ds-1ubuntu7	all
bpftrace	0.20.2-1ubuntu4.3	amd64
brltty	6.6-4ubuntu5	amd64
brz	3.3.5-6build2	amd64
bsdextrautils	2.39.3-9ubuntu6.6	amd64
bsdutils	1:2.39.3-9ubuntu6.6	amd64
bubblewrap	0.9.0-1ubuntu0.1	amd64
build-essential	12.10ubuntu1	amd64
busybox-initramfs	1:1.36.1-6ubuntu3.1	amd64
busybox-static	1:1.36.1-6ubuntu3.1	amd64
bzip2	1.0.8-5.1ubuntu0.1	amd64
bzip2-doc	1.0.8-5.1ubuntu0.1	all
bzr	2.7.0+bzr6622+brz	all
ca-certificates	20260601~24.04.1	all
ca-certificates-java	20240118	all
catch2	3.4.0-1build1	amd64
chatgpt	26.908.40834	amd64
cloud-guest-utils	0.33-1	all
cloud-init	26.1-0ubuntu1~24.04.1	all
cmake	3.28.3-1build7	amd64
cmake-data	3.28.3-1build7	all
colord	1.4.7-1build2	amd64
colord-data	1.4.7-1build2	all
comerr-dev	2.1-1.47.0-2.4~exp1ubuntu4.1	amd64
command-not-found	23.04.0	all
