build-essential	12.10ubuntu1	amd64
cmake	3.28.3-1build7	amd64
python3-colcon-common-extensions	0.3.0-100	all
python3-protobuf	3.21.12-8.2ubuntu0.3	amd64
python3-yaml	6.0.1-2build2	amd64
qml-module-qtquick-controls2	5.15.13+dfsg-1	amd64
qtbase5-dev	5.15.13+dfsg-1ubuntu1	amd64
qtdeclarative5-dev	5.15.13+dfsg-1ubuntu0.1	amd64
qtquickcontrols2-5-dev	5.15.13+dfsg-1	amd64
ros-jazzy-ament-cmake	2.5.6-2noble.20260225.222913	amd64
ros-jazzy-gz-gui-vendor	0.0.5-1noble.20260905.071619	amd64
ros-jazzy-gz-plugin-vendor	0.0.5-1noble.20260820.145930	amd64
ros-jazzy-gz-sim-vendor	0.0.13-1noble.20260905.073557	amd64
ros-jazzy-ros-base	0.11.0-1noble.20260903.093452	amd64
ros-jazzy-ros-gz	1.0.24-1noble.20260905.090616	amd64
ros-jazzy-ros-gz-bridge	1.0.24-1noble.20260905.070149	amd64
ros-jazzy-rosgraph-msgs	2.0.4-1noble.20260902.031408	amd64
ros-jazzy-std-msgs	5.3.8-1noble.20260902.022418	amd64
